season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,249147,Justin Möbius,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,95290,Jérôme Boateng,0,0.0,1.0,13.0,10.0,0.0,0.0
2016-17,231182,Kai Havertz,0,4.0,5.0,24.0,15.0,0.0,0.0
2016-17,252251,Kamil Wojtkowski,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,137148,Karim Bellarabi,0,2.0,6.0,16.0,14.0,0.0,0.0
2016-17,164632,Karim Guédé,0,0.0,0.0,5.0,3.0,0.0,0.0
2016-17,224309,Karim Onisiwo,0,1.0,0.0,16.0,10.0,0.0,0.0
2016-17,220810,Ken Gipson,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,188053,Kerem Demirbay,0,6.0,8.0,28.0,27.0,0.0,0.0
2016-17,250543,Kevin Danso,0,0.0,0.0,7.0,7.0,0.0,0.0
2016-17,141055,Kevin Kampl,0,1.0,2.0,30.0,28.0,0.0,0.0
2016-17,132973,Kevin Vogt,0,0.0,0.0,31.0,30.0,0.0,0.0
2016-17,149558,Kevin Volland,0,6.0,2.0,23.0,16.0,0.0,0.0
2016-17,184012,Kingsley Coman,0,2.0,1.0,19.0,10.0,0.0,0.0
2016-17,23164,Klaas-Jan Huntelaar,0,2.0,0.0,16.0,7.0,0.0,0.0
2016-17,140079,Koen Casteels,0,0.0,0.0,20.0,20.0,0.0,0.0
2016-17,116596,Konstantin Rausch,0,0.0,2.0,28.0,23.0,0.0,0.0
2016-17,169109,Konstantinos Stafylidis,0,4.0,0.0,27.0,26.0,0.0,0.0
2016-17,112544,Kyriakos Papadopoulos,0,2.0,0.0,16.0,15.0,0.0,0.0
2016-17,134613,Lamine Sané,0,1.0,1.0,27.0,27.0,0.0,0.0
2016-17,115119,Lars Bender,0,0.0,1.0,9.0,9.0,0.0,0.0
2016-17,117278,Lars Stindl,0,11.0,3.0,30.0,29.0,0.0,0.0
2016-17,255896,Leo Weinkauf,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,224809,Leon Bailey,0,0.0,0.0,8.0,0.0,0.0,0.0
2016-17,121550,Leon Balogun,0,0.0,0.0,17.0,13.0,0.0,0.0
2016-17,238537,Leon Bätge,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,174550,Leon Goretzka,0,5.0,3.0,30.0,30.0,0.0,0.0
2016-17,232327,Leon Guwara,0,0.0,0.0,17.0,11.0,0.0,0.0
2016-17,157560,Leonardo Bittencourt,0,3.0,5.0,16.0,12.0,0.0,0.0
2016-17,188058,Levin Öztunali,0,5.0,6.0,30.0,23.0,0.0,0.0
2016-17,122289,Lewis Holtby,0,1.0,6.0,29.0,29.0,0.0,0.0
2016-17,242585,Liam Fisch,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,132063,Luca Caldirola,0,0.0,0.0,5.0,5.0,0.0,0.0
2016-17,191352,Luca Waldschmidt,0,1.0,1.0,14.0,3.0,0.0,0.0
2016-17,203862,Luca-Milan Zander,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,113352,Luiz Gustavo,0,0.0,0.0,27.0,26.0,0.0,0.0
2016-17,157479,Lukas Hinterseer,0,3.0,1.0,28.0,8.0,0.0,0.0
2016-17,134169,Lukas Hradecky,0,0.0,0.0,33.0,33.0,0.0,0.0
2016-17,201803,Lukas Klostermann,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,223933,Lukas Klünter,0,1.0,1.0,8.0,8.0,0.0,0.0
2016-17,171701,Lukas Kübler,0,0.0,1.0,16.0,14.0,0.0,0.0
2016-17,139948,Lukas Rupp,0,2.0,1.0,14.0,8.0,0.0,0.0
2016-17,251490,Lukas Watkowiak,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,100957,Lukasz Piszczek,0,5.0,1.0,25.0,23.0,0.0,0.0
2016-17,221047,László Bénes,0,1.0,0.0,8.0,3.0,0.0,0.0
2016-17,191098,Mahmoud Dahoud,0,2.0,6.0,28.0,26.0,0.0,0.0
2016-17,114598,Makoto Hasebe,0,1.0,1.0,22.0,21.0,0.0,0.0
2016-17,225554,Mamadou Doucouré,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,136810,Manuel Gulde,0,0.0,0.0,20.0,19.0,0.0,0.0
2016-17,84774,Manuel Neuer,0,0.0,0.0,26.0,26.0,0.0,0.0
