team,player_code,player_name,position,photo_url,roster_source,portrait_source
Borussia Mönchengladbach,290230,Giovanni Reyna,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/k5690h1781348119.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,330239,Hugo Bolin,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/92n7t31717771548.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,304793,Jens Castrop,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/bcnyom1778970409.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,175006,Kevin Stöger,Midfielder,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,282676,Nathan N'Goumou,Midfielder,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,397566,Niklas Swider,Midfielder,,2025/26 squad carryover,Unavailable
Borussia Mönchengladbach,275805,Philipp Sander,Midfielder,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,258876,Robin Hack,Midfielder,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,408539,Wael Mohya,Midfielder,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,341707,Zento Uno,Midfielder,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,304222,Arthur Theate,Defender,https://r2.thesportsdb.com/images/media/player/thumb/i3ftd91630160061.jpg,2026/27 roster feed,TheSportsDB
Eintracht Frankfurt,319404,Aurèle Amenda,Defender,https://r2.thesportsdb.com/images/media/player/thumb/oi0evs1700325218.jpg,2025/26 squad carryover,TheSportsDB
Eintracht Frankfurt,372788,Elias Baum,Defender,https://r2.thesportsdb.com/images/media/player/thumb/lqaahh1762967628.jpg,2026/27 roster feed,TheSportsDB
Eintracht Frankfurt,404775,Fousseny Doumbia,Defender,,2025/26 squad carryover,Unavailable
Eintracht Frankfurt,406374,Jeremiaha Maluze,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,408339,Julian Etse,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,371596,Keita Kosugi,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,298030,Niels Nkounkou,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,413824,Niklas Scheller,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,305556,Nnamdi Collins,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,402890,Otávio,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,234787,Rasmus Kristensen,Defender,,2025/26 squad carryover,Unavailable
Eintracht Frankfurt,208285,Robin Koch,Defender,,2026/27 roster feed,Unavailable
Eintracht Frankfurt,403767,Alexander Staff,Forward,,2025/26 squad carryover,Unavailable
